epoch,loss,val_loss
0,0.05251871049404144,0.020616933703422546
1,0.016410399228334427,0.01302674412727356
2,0.01111573912203312,0.009872036054730415
3,0.009278276935219765,0.008299535140395164
4,0.007695939391851425,0.00714324414730072
5,0.006871524266898632,0.006671768147498369
6,0.006348808761686087,0.005996194668114185
7,0.005954122170805931,0.006012198980897665
8,0.005450082942843437,0.005319924559444189
9,0.005027869716286659,0.005076689645648003
10,0.004899058025330305,0.005196642596274614
11,0.004652563948184252,0.004932744894176722
12,0.00446942076086998,0.004790981765836477
13,0.004417662508785725,0.0046329498291015625
14,0.004118336830288172,0.00512057775631547
15,0.0041031623259186745,0.004344615153968334
16,0.003970220685005188,0.0042828782461583614
17,0.0037502546329051256,0.00423066271468997
18,0.0036476869136095047,0.004229785408824682
19,0.0037424627225846052,0.00414514634758234
20,0.003639970440417528,0.003955825697630644
21,0.003592371242120862,0.0038915190380066633
22,0.00341650377959013,0.004053701646625996
23,0.003561662742868066,0.004218791611492634
24,0.0033965755719691515,0.003841596422716975
25,0.003318069502711296,0.003930422943085432
26,0.003481243969872594,0.0038581155240535736
27,0.003211860777810216,0.0038227050099521875
28,0.003206866327673197,0.003718896768987179
29,0.003097357926890254,0.003590665990486741
30,0.003136183600872755,0.003803687170147896
31,0.0034663258120417595,0.003732293378561735
32,0.0030046552419662476,0.003628390608355403
33,0.003022208111360669,0.0035325237549841404
34,0.003002909943461418,0.00401591882109642
35,0.003255293471738696,0.003645295975729823
36,0.00290915765799582,0.0035180728882551193
37,0.002904715249314904,0.004058226943016052
38,0.003006709972396493,0.003628442995250225
39,0.0029577247332781553,0.0034305588342249393
40,0.002979475539177656,0.0035909193102270365
41,0.0029485987033694983,0.0038452751468867064
42,0.002878511557355523,0.0034433684777468443
43,0.0028115324676036835,0.003512083785608411
44,0.002825474599376321,0.0036095839459449053
